category,closing_1,closing_2,id,latitude,longitude,name,opening_1,opening_2,price_range,rating,reviews,url
restaurants,2:00 PM,0,fat-beli-deli-san-francisco,37.72894509,-122.4042298,Fat Beli Deli,9:00 AM,0,$,4,100,http://www.yelp.com/biz/fat-beli-deli-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,5:00 PM,0,david-rosenthal-san-francisco-2,37.734646,-122.463708,David Rosenthal,9:00 AM,0,None,5,5,http://www.yelp.com/biz/david-rosenthal-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,,,non-stop-productions-san-francisco-2,37.72184753,-122.4862595,Non-Stop Productions,,,None,5,16,http://www.yelp.com/biz/non-stop-productions-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,10:00 PM,0,mission-street-oyster-bar-san-francisco,37.7605737,-122.4193098,Mission Street Oyster Bar,12:00 PM,0,$$,4,291,http://www.yelp.com/biz/mission-street-oyster-bar-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,,,cavalia-san-francisco-2,37.77150303,-122.3913129,Cavalia,,,None,3.5,45,http://www.yelp.com/biz/cavalia-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,12:00 AM,0,boss-of-the-sauce-san-francisco-2,37.80099593,-122.4092254,Boss of the Sauce,12:00 AM,0,None,5,44,http://www.yelp.com/biz/boss-of-the-sauce-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,,,studio-teobi-san-francisco,37.73166686,-122.3990545,Studio Teobi,,,$$,5,4,http://www.yelp.com/biz/studio-teobi-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,10:00 PM,0,birba-san-francisco,37.77787,-122.42421,Birba,3:00 PM,0,$$,4.5,22,http://www.yelp.com/biz/birba-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,5:00 PM,0,seÃ±or-sisig-san-francisco-3,37.78758262,-122.3992421,SeÃ±or Sisig,11:00 AM,0,$,4,1005,http://www.yelp.com/biz/se%C3%B1or-sisig-san-francisco-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,11:00 AM,0,pure-barre-san-francisco-3,37.7392899,-122.46797,Pure Barre,7:00 AM,0,None,5,42,http://www.yelp.com/biz/pure-barre-san-francisco-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,8:00 PM,0,the-frankenart-mart-san-francisco,37.77715243,-122.4642918,The Frankenart Mart,1:00 PM,0,$,5,17,http://www.yelp.com/biz/the-frankenart-mart-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,,,the-secret-alley-san-francisco,37.74866867,-122.4157944,The Secret Alley,,,$,4.5,13,http://www.yelp.com/biz/the-secret-alley-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,1:00 AM,0,internos-wine-cafe-san-francisco,37.7818298,-122.4538803,Internos Wine Cafe,4:00 PM,0,$$,4,197,http://www.yelp.com/biz/internos-wine-cafe-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,3:00 PM,0,good-luck-cafe-and-deli-san-francisco,37.7938385,-122.4048462,Good Luck Cafe and Deli,7:00 AM,0,$,4.5,319,http://www.yelp.com/biz/good-luck-cafe-and-deli-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,12:00 AM,0,the-golden-west-san-francisco,37.7901307,-122.4026048,The Golden West,12:00 AM,0,$,4,309,http://www.yelp.com/biz/the-golden-west-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,9:00 PM,0,daydream-paintings-san-francisco,37.7719994,-122.3990784,Daydream Paintings,8:00 AM,0,None,5,3,http://www.yelp.com/biz/daydream-paintings-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,1:00 PM,0,bay-pointe-ballet-south-san-francisco,37.6467157,-122.402759,Bay Pointe Ballet,9:00 AM,0,None,4.5,11,http://www.yelp.com/biz/bay-pointe-ballet-south-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,9:00 PM,0,frisco-fried-san-francisco,37.7309943,-122.392178,Frisco Fried,12:00 PM,0,$$,4,310,http://www.yelp.com/biz/frisco-fried-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,11:59 PM,0,gain-fitness-san-francisco-7,37.79098129,-122.401886,GAIN Fitness,12:00 AM,0,None,5,8,http://www.yelp.com/biz/gain-fitness-san-francisco-7?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,,,ucsf-parnassus-recsports-san-francisco,37.76349261,-122.4580986,UCSF Parnassus RecSports,,,None,4,3,http://www.yelp.com/biz/ucsf-parnassus-recsports-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,,,junipero-serra-playground-and-clubhouse-san-francisco,37.72547968,-122.474267,Junipero Serra Playground & Clubhouse,,,None,4.5,8,http://www.yelp.com/biz/junipero-serra-playground-and-clubhouse-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,,,lexington-street-disco-ball-san-francisco,37.75778961,-122.4202194,Lexington Street Disco Ball,,,$,5,4,http://www.yelp.com/biz/lexington-street-disco-ball-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,10:30 PM,0,blackwood-san-francisco-3,37.800591,-122.438832,Blackwood,9:00 AM,0,$$,4,727,http://www.yelp.com/biz/blackwood-san-francisco-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,2:00 AM,0,mogura-san-francisco,37.7852325,-122.4315796,Mogura,7:00 PM,0,$$,3.5,36,http://www.yelp.com/biz/mogura-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,,,strawberry-hill-san-francisco,37.76867932,-122.4756181,Strawberry Hill,,,None,5,49,http://www.yelp.com/biz/strawberry-hill-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,,,king-and-co-works-of-art-san-francisco,37.79173279,-122.4005585,King & Co Works of Art,,,None,5,2,http://www.yelp.com/biz/king-and-co-works-of-art-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,11:30 PM,0,fit-club-san-francisco,37.7746051,-122.5099708,Fit Club,4:00 AM,0,None,4.5,31,http://www.yelp.com/biz/fit-club-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,,,golden-eagle-deli-and-grill-san-francisco-3,37.73764801,-122.389389,Golden Eagle Deli and Grill,,,$,4.5,17,http://www.yelp.com/biz/golden-eagle-deli-and-grill-san-francisco-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,11:00 PM,0,pizzeria-delfina-san-francisco-3,37.7890022,-122.4343326,Pizzeria Delfina,11:30 AM,0,$$,4,1221,http://www.yelp.com/biz/pizzeria-delfina-san-francisco-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,7:00 PM,0,vineyard-gate-wine-sellers-millbrae,37.60049057,-122.3908844,Vineyard Gate Wine Sellers,11:00 AM,0,$$,5,13,http://www.yelp.com/biz/vineyard-gate-wine-sellers-millbrae?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,2:00 AM,0,tempest-san-francisco,37.78122157,-122.4062799,Tempest,12:00 PM,0,$,4,478,http://www.yelp.com/biz/tempest-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,9:00 PM,0,layaly-san-francisco-2,37.782248,-122.485503,Layaly,12:00 PM,0,$$,4,345,http://www.yelp.com/biz/layaly-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,10:00 PM,0,ppq-dungeness-island-san-francisco-2,37.78233,-122.484454,PPQ Dungeness Island,12:00 PM,0,$$,4,2349,http://www.yelp.com/biz/ppq-dungeness-island-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,12:00 AM,0,publico-urban-taqueria-san-francisco,37.77102,-122.40731,Publico Urban Taqueria,12:00 AM,0,$,3.5,150,http://www.yelp.com/biz/publico-urban-taqueria-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,12:00 AM,0,dragoneats-san-francisco-3,37.78656391,-122.3953908,DragonEats,12:00 AM,0,$,4,101,http://www.yelp.com/biz/dragoneats-san-francisco-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,11:00 AM,5:00 PM,the-garden-court-san-francisco,37.78822671,-122.4019197,The Garden Court,6:30 AM,11:30 AM,$$$,3.5,314,http://www.yelp.com/biz/the-garden-court-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,8:00 PM,0,the-floating-lotus-san-francisco-2,37.75877,-122.419365,The Floating Lotus,10:00 AM,0,$$,5,5,http://www.yelp.com/biz/the-floating-lotus-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,11:59 PM,0,artichoke-joes-casino-san-bruno,37.62778473,-122.4108124,Artichoke Joe's Casino,12:00 AM,0,None,3,74,http://www.yelp.com/biz/artichoke-joes-casino-san-bruno?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,9:00 PM,0,kitethebay-san-francisco,37.8162366,-122.3708965,KiteTheBay,9:00 AM,0,None,5,26,http://www.yelp.com/biz/kitethebay-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,,,cafe-del-rio-virginia-city,39.30535515,-119.6516168,Cafe Del Rio,,,$$,4.5,108,http://www.yelp.com/biz/cafe-del-rio-virginia-city?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,,,sfmoma-san-francisco,37.78586436,-122.4008629,SFMOMA,,,None,4,937,http://www.yelp.com/biz/sfmoma-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,2:00 AM,0,rye-san-francisco,37.78660923,-122.4146207,Rye,6:00 PM,0,$$,4,1255,http://www.yelp.com/biz/rye-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,1:00 AM,0,flights-101-club-lounge-burlingame,37.6022808,-122.3711608,Flights 101 Club Lounge,2:00 PM,0,$$,4,30,http://www.yelp.com/biz/flights-101-club-lounge-burlingame?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,11:00 PM,0,bird-and-beckett-books-and-records-san-francisco,37.73442,-122.43294,Bird & Beckett Books & Records,11:00 AM,0,$$,4.5,71,http://www.yelp.com/biz/bird-and-beckett-books-and-records-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,10:00 PM,0,la-fusiÃ_n-san-francisco-2,37.79163575,-122.4036916,La FusiÃ_n,5:00 PM,0,$$,4.5,738,http://www.yelp.com/biz/la-fusi%C3%B3n-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,9:00 PM,0,simply-thai-sparks,39.63872686,-119.7124996,Simply Thai,12:00 PM,0,$$,4.5,72,http://www.yelp.com/biz/simply-thai-sparks?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,12:00 AM,0,psychic-horizons-san-francisco,37.7574084,-122.4213467,Psychic Horizons,12:00 AM,0,None,4.5,30,http://www.yelp.com/biz/psychic-horizons-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,11:00 PM,0,gintei-san-bruno,37.618545,-122.40979,Gintei,5:00 PM,0,$$$,4,167,http://www.yelp.com/biz/gintei-san-bruno?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
